"","cluster","LFC.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","LFC.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","LFC.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","LFC.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","LFC.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","LFC.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","LFC.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","LFC.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Astrocytes_DD_NP_ZIKV_Astrocytes_DD_NP_Mock2zika_GM_ZIKA_Astrocytes2mock","pct.DEgenes_sig_Astrocytes_GM_NP_ZIKV_Astrocytes_GM_NP_Mock2zika_GM_ZIKA_Astrocyte2mocks","pct.DEgenes_sig_Early Neurons_DD_NP_ZIKV_Early Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Early Neurons_GM_NP_ZIKV_Early Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_DD_NP_ZIKV_Neurons_DD_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_Neurons_GM_NP_ZIKV_Neurons_GM_NP_Mock2zika_GM_ZIKA_Neurons2mock","pct.DEgenes_sig_NPC_DD_NP_ZIKV_NPC_DD_NP_Mock2zika_DD_ZIKA_NPC2mock","pct.DEgenes_sig_NPC_GM_NP_IFNb_NPC_GM_NP_Mock_GM_IFNb_NPC","pct.DEgenes_sig_NPC_GM_NP_ZIKV_NPC_GM_NP_Mock2zika_GM_ZIKA_NPC2mock","pct.DEgenes_sig_Oligodendrocyte_DD_NP_ZIKV_Oligodendrocyte_DD_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock","pct.DEgenes_sig_Oligodendrocyte_GM_NP_ZIKV_Oligodendrocyte_GM_NP_Mock2zika_GM_ZIKA_Oligodendrocyte2mock"
"LGALS3BP","deepskyblue",0.863255960709566,NA,0.616303059793585,NA,0.470204384196749,NA,1.04665009329882,0.897753028946474,NA,0.693622299114762,NA,0.728,NA,0.572,NA,0.426,NA,0.799,0.472,NA,0.631,NA
"DDX58","green",0.483866670846293,NA,NA,NA,NA,NA,0.612426943484294,1.67966140252774,NA,0.38901067176522,NA,0.284,NA,NA,NA,NA,NA,0.396,0.786,NA,0.217,NA
"PNPT1","green",0.532153003968441,NA,NA,NA,NA,NA,0.692354906629326,1.40742476542591,NA,0.480773650449185,NA,0.399,NA,NA,NA,NA,NA,0.577,0.822,NA,0.352,NA
"IRF7","green",0.686217489027107,NA,NA,NA,NA,NA,0.907382987781233,0.888349576363784,NA,0.625634674650215,NA,0.407,NA,NA,NA,NA,NA,0.543,0.594,NA,0.316,NA
"HERC5","green",0.584083721175821,NA,NA,NA,NA,NA,0.77441963651735,1.24696754099172,NA,0.480773650449185,NA,0.264,NA,NA,NA,NA,NA,0.382,0.518,NA,0.172,NA
"USP18","green",0.598976584577817,NA,NA,NA,NA,NA,0.87221186187959,1.20394575381684,NA,0.396240140237517,NA,0.344,NA,NA,NA,NA,NA,0.531,0.63,NA,0.254,NA
"IFI27","green",0.662856238665263,NA,NA,NA,NA,NA,0.76480813815491,1.61287592248352,NA,NA,NA,0.336,NA,NA,NA,NA,NA,0.326,0.351,NA,NA,NA
"IFI16","green",0.714543950352571,NA,0.465712296408354,NA,0.292365920894808,NA,0.976230864682215,1.5132984063593,NA,NA,NA,0.626,NA,0.463,NA,0.31,NA,0.769,0.586,NA,NA,NA
"IFIT5","green",0.447780767429918,NA,0.304969594127606,NA,NA,NA,0.717868327370397,1.30251575487934,NA,NA,NA,0.34,NA,0.357,NA,NA,NA,0.511,0.792,NA,NA,NA
"IFIT2","green",0.481830532521467,NA,NA,NA,NA,NA,0.396976576928782,0.640589596391007,NA,0.87125404548405,NA,0.245,NA,NA,NA,NA,NA,0.209,0.221,NA,0.189,NA
"IFI35","green",0.421294750784966,NA,NA,NA,NA,NA,0.448390769964207,0.28453247350366,NA,0.313954559874694,NA,0.227,NA,NA,NA,NA,NA,0.262,0.146,NA,0.148,NA
"STAT2","green",0.36616036655599,NA,NA,NA,NA,NA,0.333865236930792,0.558348242095187,NA,0.447090524192896,NA,0.324,NA,NA,NA,NA,NA,0.326,0.398,NA,0.266,NA
"PSME1","green",0.288366687704393,NA,0.278250904599167,NA,NA,NA,0.315653905975182,0.66887714887603,NA,NA,NA,0.727,NA,0.444,NA,NA,NA,0.801,0.783,NA,NA,NA
"TRIM22","green",0.493009596393358,NA,NA,NA,NA,NA,0.521159645304258,0.763314954621961,NA,NA,NA,0.397,NA,NA,NA,NA,NA,0.477,0.421,NA,NA,NA
"PARP9","green",0.376788292020328,NA,NA,NA,NA,NA,0.472973907539101,0.486116770164529,NA,NA,NA,0.346,NA,NA,NA,NA,NA,0.465,0.348,NA,NA,NA
"TAP1","green",0.390710879319482,NA,NA,NA,NA,NA,0.460124873799092,0.460775509808847,NA,NA,NA,0.329,NA,NA,NA,NA,NA,0.4,0.27,NA,NA,NA
"OAS1","green",0.493947993190111,NA,NA,NA,NA,NA,0.864446762078072,0.690541779221707,NA,0.268935007273478,NA,0.205,NA,NA,NA,NA,NA,0.39,0.324,NA,0.111,NA
"HLA-E","green",0.520219570512068,NA,NA,NA,NA,NA,0.719921012147638,0.529620573024864,NA,NA,NA,0.465,NA,NA,NA,NA,NA,0.559,0.322,NA,NA,NA
"MT2A","green",0.636831376378203,NA,NA,NA,NA,NA,0.799179907878591,0.652621697826935,NA,NA,NA,0.546,NA,NA,NA,NA,NA,0.732,0.424,NA,NA,NA
"DDX60L","green",0.38679530030239,NA,NA,NA,NA,NA,0.444403382217234,0.821577183081308,NA,NA,NA,0.227,NA,NA,NA,NA,NA,0.288,0.38,NA,NA,NA
"SAMD9","green",0.335445980960666,NA,NA,NA,NA,NA,0.44718802288255,0.942108321512011,NA,NA,NA,0.177,NA,NA,NA,NA,NA,0.231,0.346,NA,NA,NA
"DTX3L","green",0.285489444025991,NA,NA,NA,NA,NA,0.453296832465196,0.697476296642277,NA,NA,NA,0.243,NA,NA,NA,NA,NA,0.394,0.46,NA,NA,NA
"SAMHD1","green",0.317658733233166,NA,NA,NA,NA,NA,0.377684599250423,0.712817845389491,NA,NA,NA,0.234,NA,NA,NA,NA,NA,0.346,0.464,NA,NA,NA
"CMPK2","green",0.290524292965084,NA,NA,NA,NA,NA,0.428044046975185,0.780797331123551,NA,NA,NA,0.17,NA,NA,NA,NA,NA,0.264,0.471,NA,NA,NA
"TRIM25","green",0.278629606939706,NA,NA,NA,NA,NA,0.334149739473344,0.829026446203367,NA,NA,NA,0.232,NA,NA,NA,NA,NA,0.278,0.525,NA,NA,NA
"C19orf66","green",0.555092519886144,NA,NA,NA,0.286997821022787,NA,0.590074332354755,1.06209463964141,NA,NA,NA,0.405,NA,NA,NA,0.241,NA,0.443,0.572,NA,NA,NA
"ADAR","green",0.318753553264876,NA,NA,NA,NA,NA,0.428124589986108,0.874560820202782,NA,NA,NA,0.415,NA,NA,NA,NA,NA,0.557,0.781,NA,NA,NA
"HELZ2","green",0.336988145769072,NA,NA,NA,NA,NA,0.517253022910984,0.974764183957799,NA,NA,NA,0.238,NA,NA,NA,NA,NA,0.356,0.621,NA,NA,NA
